product_id,product_name,category,demand_type,shelf_life_days,lead_time_weeks,unit_cost,selling_price,critical_flag
PHM0001,Antibiotic_Drug_1,Antibiotic,Seasonal,365,2,42.0,51.19,0
PHM0002,Antibiotic_Drug_2,Antibiotic,Stable,365,2,98.92,130.49,0
PHM0003,Antibiotic_Drug_3,Antibiotic,Seasonal,365,3,42.54,49.92,0
PHM0004,Antibiotic_Drug_4,Antibiotic,Intermittent,365,2,84.9,112.83,0
PHM0005,Antibiotic_Drug_5,Antibiotic,Stable,365,2,75.94,92.61,0
PHM0006,Antibiotic_Drug_6,Antibiotic,Seasonal,365,2,95.85,118.38,0
PHM0007,Antibiotic_Drug_7,Antibiotic,Stable,365,2,116.58,143.88,0
PHM0008,Antibiotic_Drug_8,Antibiotic,Trending,365,3,47.74,65.02,0
PHM0009,Antibiotic_Drug_9,Antibiotic,Intermittent,365,2,98.38,126.33,0
PHM0010,Antibiotic_Drug_10,Antibiotic,Trending,365,2,84.16,114.23,0
PHM0011,Antibiotic_Drug_11,Antibiotic,Seasonal,365,2,96.37,111.93,0
PHM0012,Antibiotic_Drug_12,Antibiotic,Stable,365,3,118.82,162.05,0
PHM0013,Antibiotic_Drug_13,Antibiotic,Trending,365,3,62.24,81.47,0
PHM0014,Antibiotic_Drug_14,Antibiotic,Trending,365,2,69.61,83.7,0
PHM0015,Antibiotic_Drug_15,Antibiotic,Seasonal,365,2,88.73,105.84,0
PHM0016,Antibiotic_Drug_16,Antibiotic,Seasonal,365,2,76.98,93.72,0
PHM0017,Antibiotic_Drug_17,Antibiotic,Seasonal,365,3,107.43,144.39,0
PHM0018,Antibiotic_Drug_18,Antibiotic,Stable,365,2,104.4,130.53,0
PHM0019,Antibiotic_Drug_19,Antibiotic,Trending,365,2,113.05,146.04,0
PHM0020,Antibiotic_Drug_20,Antibiotic,Intermittent,365,2,92.44,115.45,0
PHM0021,Antibiotic_Drug_21,Antibiotic,Trending,365,2,61.19,74.14,0
PHM0022,Antibiotic_Drug_22,Antibiotic,Seasonal,365,3,111.83,139.77,0
PHM0023,Antibiotic_Drug_23,Antibiotic,Stable,365,2,80.76,94.71,0
PHM0024,Antibiotic_Drug_24,Antibiotic,Intermittent,365,2,52.23,62.15,0
PHM0025,Antibiotic_Drug_25,Antibiotic,Intermittent,365,2,70.78,91.94,0
PHM0026,Antibiotic_Drug_26,Antibiotic,Stable,365,3,117.69,160.67,0
PHM0027,Antibiotic_Drug_27,Antibiotic,Trending,365,2,94.54,121.41,0
PHM0028,Antibiotic_Drug_28,Antibiotic,Intermittent,365,3,48.92,61.58,0
PHM0029,Antibiotic_Drug_29,Antibiotic,Trending,365,2,116.31,159.22,0
PHM0030,Antibiotic_Drug_30,Antibiotic,Trending,365,2,80.61,94.85,0
PHM0031,Painkiller_Drug_31,Painkiller,Stable,720,1,7.29,9.77,0
PHM0032,Painkiller_Drug_32,Painkiller,Trending,720,2,12.33,14.52,0
PHM0033,Painkiller_Drug_33,Painkiller,Stable,720,2,8.59,10.4,0
PHM0034,Painkiller_Drug_34,Painkiller,Seasonal,720,1,15.98,21.64,0
PHM0035,Painkiller_Drug_35,Painkiller,Seasonal,720,1,14.9,20.66,0
PHM0036,Painkiller_Drug_36,Painkiller,Seasonal,720,2,12.92,16.82,0
PHM0037,Painkiller_Drug_37,Painkiller,Trending,720,1,15.69,19.61,0
PHM0038,Painkiller_Drug_38,Painkiller,Seasonal,720,2,18.49,23.35,0
PHM0039,Painkiller_Drug_39,Painkiller,Seasonal,720,1,5.96,6.89,0
PHM0040,Painkiller_Drug_40,Painkiller,Stable,720,1,5.11,6.78,0
PHM0041,Painkiller_Drug_41,Painkiller,Trending,720,1,6.01,6.96,0
PHM0042,Painkiller_Drug_42,Painkiller,Intermittent,720,1,12.71,15.5,0
PHM0043,Painkiller_Drug_43,Painkiller,Intermittent,720,1,13.09,17.42,0
PHM0044,Painkiller_Drug_44,Painkiller,Seasonal,720,1,16.77,22.67,0
PHM0045,Painkiller_Drug_45,Painkiller,Intermittent,720,1,6.45,8.11,0
PHM0046,Painkiller_Drug_46,Painkiller,Stable,720,2,12.01,16.0,0
PHM0047,Painkiller_Drug_47,Painkiller,Stable,720,1,11.04,13.63,0
PHM0048,Painkiller_Drug_48,Painkiller,Seasonal,720,1,7.87,10.11,0
PHM0049,Painkiller_Drug_49,Painkiller,Stable,720,2,7.75,9.81,0
PHM0050,Painkiller_Drug_50,Painkiller,Stable,720,2,17.12,23.35,0
PHM0051,Painkiller_Drug_51,Painkiller,Stable,720,1,14.78,18.99,0
PHM0052,Painkiller_Drug_52,Painkiller,Seasonal,720,1,18.9,25.75,0
PHM0053,Painkiller_Drug_53,Painkiller,Intermittent,720,2,12.28,14.78,0
PHM0054,Painkiller_Drug_54,Painkiller,Intermittent,720,1,7.47,8.59,0
PHM0055,Painkiller_Drug_55,Painkiller,Trending,720,2,18.9,25.44,0
PHM0056,Painkiller_Drug_56,Painkiller,Intermittent,720,2,15.45,20.59,0
PHM0057,Painkiller_Drug_57,Painkiller,Stable,720,1,7.85,9.45,0
PHM0058,Painkiller_Drug_58,Painkiller,Intermittent,720,1,16.22,18.88,0
PHM0059,Painkiller_Drug_59,Painkiller,Seasonal,720,1,5.85,7.47,0
PHM0060,Painkiller_Drug_60,Painkiller,Seasonal,720,1,13.93,18.37,0
PHM0061,Vaccine_Drug_61,Vaccine,Stable,283,3,764.96,988.65,1
PHM0062,Vaccine_Drug_62,Vaccine,Trending,338,3,451.53,585.15,1
PHM0063,Vaccine_Drug_63,Vaccine,Trending,232,4,343.21,428.65,1
PHM0064,Vaccine_Drug_64,Vaccine,Stable,297,4,757.41,1048.21,0
PHM0065,Vaccine_Drug_65,Vaccine,Stable,198,3,503.53,595.73,1
